#* opts
# style NewRibbons
# header1 mol
# format_data %8.4f
# header2 frame
# colorID 0
# collections rmsd avg std min max
# sets dual
# format_scale %4.2f
# ascii 0
# format_key %3d %3d
# connect lines
# formats f
# calctype rmsd
# mode frames
# color Molecule
#* guiopts
# byres 1
# align 0
# force_samemols 0
# diagonal 0
#* sets
# mol2_def id
# mol_all 0 1
# mol1 0
# mol2 1
# rep_sel protein
# samemols 0
# frame1_def all
# frame2_def all
# frame1 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# frame2 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# sel1 protein
# sel2 protein
# mol1_def id
    mol1   frame1       mol2   frame2       rmsd      avg      std      min      max
       0        7          1        2     2.6478   1.9247   2.1027   0.3210  14.6236
       0        7          1        3     3.2477   2.1867   2.8505   0.2385  19.8379
       0        7          1        4     2.6717   1.9622   2.0106   0.4028  12.3712
       0        7          1        5     2.2133   1.8230   1.4513   0.4030  13.1659
       0        7          1        6     3.6310   2.1959   3.5010   0.2593  25.9237
       0        7          1        7     0.0000   0.0000   0.0000   0.0000   0.0000
       0        7          1        8     2.6676   2.0120   2.0755   0.2312  17.3627
       0        7          1        9     2.8821   2.0941   2.3738   0.3709  17.5034
       0        7          1       10     2.9948   2.0208   2.5131   0.2401  16.6844
       0        7          1       11     1.8929   1.6243   0.8692   0.2487   5.5239
       0        7          1       12     2.7418   1.9811   2.1047   0.3736  15.5958
       0        7          1       13     2.8652   2.1103   2.3524   0.2564  18.1996
       0        7          1       14     3.4710   2.3157   3.0827   0.3731  22.6507
       0        7          1       15     3.1608   2.1327   2.7733   0.3196  19.7187
       0        7          1       16     3.6070   2.3316   3.2879   0.3281  24.2538
       0        7          1       17     2.0694   1.7679   1.1394   0.3018   8.4897
       0        7          1       18     2.7942   1.9449   2.3724   0.2728  16.7755
       0        7          1       19     2.3910   1.8267   1.8451   0.3455  14.3788
       0        8          1        0     2.4271   1.9148   1.5611   0.3721  11.0203
       0        8          1        1     3.0122   2.0387   2.6585   0.2548  20.5337
       0        8          1        2     2.6501   1.9933   2.0060   0.3649  13.8820
       0        8          1        3     2.7282   2.0365   2.0172   0.5117  14.3164
       0        8          1        4     2.4528   1.8673   1.6027   0.1274  10.0391
       0        8          1        5     2.2260   1.8083   1.2859   0.2886   7.3550
       0        8          1        6     3.1592   2.0947   2.7814   0.2426  19.9125
       0        8          1        7     2.6676   2.0120   2.0755   0.2312  17.3627
       0        8          1        8     0.0000   0.0000   0.0000   0.0000   0.0000
       0        8          1        9     2.4314   1.9436   1.4148   0.4111   8.3076
       0        8          1       10     3.8701   2.4526   3.5954   0.2736  27.9423
       0        8          1       11     2.7968   2.0469   2.2654   0.2515  17.3398
       0        8          1       12     2.4131   1.8435   1.6093   0.2479   9.3687
       0        8          1       13     2.2153   1.8292   1.3906   0.3390  10.0213
       0        8          1       14     2.9715   2.1684   2.2442   0.3996  15.1093
       0        8          1       15     2.4479   1.9351   1.5463   0.3862  11.4442
       0        8          1       16     2.9184   2.0345   2.2517   0.3170  14.9639
       0        8          1       17     2.4249   1.8843   1.7287   0.3395  12.4370
       0        8          1       18     3.1982   2.1552   2.8344   0.2120  22.9661
       0        8          1       19     2.2851   1.8471   1.3995   0.3458  10.2207
       0        9          1        0     2.2952   1.8556   1.5212   0.5256  10.2933
       0        9          1        1     2.8843   2.0462   2.4457   0.4399  19.7916
       0        9          1        2     2.7051   2.0452   2.0281   0.3902  15.2864
       0        9          1        3     2.4962   1.9623   1.6856   0.2350  12.0563
       0        9          1        4     2.3514   1.9486   1.4615   0.3206  11.9495
       0        9          1        5     2.3779   1.8686   1.6457   0.2295  12.4873
       0        9          1        6     2.6756   2.0413   2.0658   0.4174  16.7021
       0        9          1        7     2.8821   2.0941   2.3738   0.3709  17.5034
       0        9          1        8     2.4314   1.9436   1.4148   0.4111   8.3076
       0        9          1        9     0.0000   0.0000   0.0000   0.0000   0.0000
       0        9          1       10     3.8830   2.4363   3.6306   0.4630  27.0685
       0        9          1       11     3.0001   2.1122   2.5616   0.4486  19.1720
       0        9          1       12     2.4856   2.0142   1.5397   0.3404  10.0534
       0        9          1       13     2.3244   1.8673   1.4285   0.4368  11.5675
       0        9          1       14     2.6288   2.0261   1.7725   0.4096  11.1893
       0        9          1       15     2.3262   1.9161   1.2170   0.4230   6.4801
       0        9          1       16     2.5294   1.9519   1.6427   0.3286  10.2655
